Date,Target,Open,Close,Max,Min
2000-12-28,1,0.0132,0.4796,0.5451,-0.3562
2001-01-02,1,-0.1115,1.0820,2.3447,-0.5586
2001-01-03,1,0.0000,7.3353,7.3353,-1.1344
2001-01-04,1,-0.0120,0.4568,1.9922,-0.0723
2001-01-05,0,0.0240,-1.6020,1.2693,-1.7850
2001-01-08,1,-0.0732,0.9220,1.2896,-1.1276
2001-01-09,1,0.0241,2.4690,3.1734,0.0241
2001-01-10,0,-0.0707,-0.3363,0.6868,-1.6332
2001-01-11,1,-0.0650,0.6187,0.7420,-0.7237
2001-01-12,0,0.0587,-1.0273,1.0983,-1.1996
2001-01-15,1,0.0475,0.6684,1.1095,0.0475
2001-01-16,0,0.0589,-1.4369,0.4236,-1.7904
2001-01-17,1,0.1613,2.7721,3.1437,0.1434
2001-01-18,1,0.0756,1.9014,2.5896,-0.2330
2001-01-19,1,0.0228,0.0514,1.6697,-0.0514
2001-01-22,0,0.1026,-0.7903,0.2734,-1.3381
2001-01-23,1,-0.0633,2.4984,2.6777,-0.0920
2001-01-24,0,0.0953,-0.3370,1.0599,-0.7543
2001-01-26,1,0.0225,0.6562,0.9018,-1.0237
2001-01-29,0,0.0950,-0.0335,0.7463,-1.0395
2001-01-30,0,-0.0056,-0.8987,0.0838,-1.2095
2001-01-31,0,0.0113,-0.2825,1.1110,-0.4864
2001-02-01,0,-0.0170,-3.6533,0.0000,-4.0179
2001-02-02,0,-0.0705,-0.7304,0.9753,-1.5258
2001-02-05,0,-0.0059,-1.0938,0.1536,-2.2480
2001-02-06,1,0.0179,1.6362,1.6950,0.0179
2001-02-07,0,-0.0235,-1.1532,-0.0235,-2.2417
2001-02-08,1,0.0119,2.5313,2.7399,0.0119
2001-02-09,0,0.0812,-0.6108,0.1565,-1.1256
2001-02-12,0,0.1458,-1.2979,0.5586,-1.4991
2001-02-13,1,0.0296,1.0525,1.5078,-0.2012
2001-02-14,1,-0.1053,0.1403,1.1052,-1.2123
2001-02-15,0,0.0058,-1.0747,0.8260,-1.1633
2001-02-16,0,-0.0177,-4.0854,0.0767,-5.0681
2001-02-19,0,0.0246,-1.2253,0.8147,-1.4621
2001-02-20,0,0.0311,-0.9383,1.1207,-1.7461
2001-02-21,0,-0.0126,-2.0124,-0.0126,-2.1793
2001-02-22,1,0.0641,2.0062,2.0313,-0.2311
2001-02-23,1,0.0628,1.5467,1.9482,-0.4978
2001-02-28,0,0.0000,-1.6662,0.7153,-1.6662
2001-03-01,1,0.0000,3.2564,3.3904,-0.1007
2001-03-02,1,0.0365,0.9940,1.8468,-1.1271
2001-03-05,0,0.2349,-0.2657,0.9364,-0.6656
2001-03-06,0,0.2175,-1.2964,1.6552,-1.5724
2001-03-07,1,0.0306,0.4340,0.6473,-0.6206
2001-03-08,0,0.0366,-1.0300,0.8261,-1.8406
2001-03-09,0,0.0370,-0.6430,0.1293,-1.2963
2001-03-12,0,0.0124,-3.7666,0.1240,-3.7924
2001-03-13,1,0.0579,0.3664,1.5402,-0.5360
2001-03-14,0,-0.0064,-2.1993,-0.0064,-3.3539
2001-03-15,0,0.0459,-1.2143,1.5426,-1.7736
2001-03-16,1,0.0995,1.1618,1.9398,-0.0930
2001-03-19,0,0.0787,-2.6670,0.9211,-2.8964
2001-03-20,1,0.1213,0.4506,1.6114,0.1213
2001-03-21,0,0.0738,-0.3361,1.9601,-0.9981
2001-03-22,0,-0.0404,-5.4370,-0.0404,-7.6363
2001-03-23,1,0.0213,2.5824,2.5824,-1.5185
2001-03-26,1,0.0554,1.9008,3.2510,0.0554
2001-03-27,1,0.1426,0.8326,1.6115,-0.8053
2001-03-28,0,0.0741,-1.3778,0.1145,-1.7750
2001-03-29,0,0.1025,-2.4211,0.5521,-2.8140
2001-03-30,1,0.0700,1.0864,1.0864,-2.5530
2001-04-02,0,0.0208,-3.2164,0.3043,-3.2164
2001-04-03,0,0.0501,-1.7606,0.1429,-2.2935
2001-04-04,1,0.0218,0.8553,2.8561,0.0218
2001-04-05,1,0.0722,4.1564,4.4260,0.0722
2001-04-06,1,-0.1039,0.2904,1.7774,-0.4998
2001-04-09,1,0.0276,1.6026,1.6026,-0.2696
2001-04-10,1,0.0408,2.2106,2.5357,0.0408
2001-04-11,0,0.0598,-1.5335,1.4449,-2.1766
2001-04-12,1,-0.0540,1.0071,1.0071,-2.2451
2001-04-16,0,0.0334,-3.5633,0.0468,-3.9795
2001-04-17,0,-0.0138,-0.7505,0.7586,-1.5488
2001-04-18,1,0.0558,4.2202,5.5223,-0.0977
2001-04-19,0,0.0067,-3.5667,0.4137,-3.6430
2001-04-20,0,-0.1595,-5.2275,-0.1595,-5.7986
2001-04-23,1,0.2771,1.4281,1.4281,-2.7462
2001-04-24,1,0.0072,1.2518,2.2350,0.0072
2001-04-25,1,-0.0427,0.6730,1.0958,-2.0322
2001-04-26,1,0.2891,4.1085,4.1965,0.2750
2001-04-27,1,-0.0339,1.1521,2.5292,-0.0339
2001-04-30,0,0.1071,-0.0670,1.8714,-0.6047
2001-05-02,0,-0.2752,-0.1409,0.0134,-1.9084
2001-05-03,1,0.0604,1.6312,1.6312,-0.9104
2001-05-04,0,0.0000,-0.3241,1.0642,-0.6693
2001-05-07,0,0.0662,-1.4549,0.8511,-1.5423
2001-05-08,0,-0.0942,-0.8642,0.5564,-1.4832
2001-05-09,1,-0.2036,0.2168,0.8104,-1.1663
2001-05-10,1,0.1150,1.4376,2.2613,0.1150
2001-05-11,0,0.1266,-3.3918,0.1666,-3.9661
2001-05-14,0,0.0414,-1.7822,0.0966,-2.7207
2001-05-15,0,-0.6766,-0.0773,0.5394,-0.8960
2001-05-16,1,0.2107,3.3728,3.5358,0.2107
2001-05-17,1,0.0883,0.5422,2.5564,0.0747
2001-05-18,1,0.3643,0.6065,1.4628,0.0405
2001-05-21,1,-0.0874,1.6261,1.8242,-0.5187
2001-05-22,0,0.0925,-1.9963,0.4551,-2.2326
2001-05-23,0,0.0000,-0.9282,0.5112,-1.3716
2001-05-24,0,0.0136,-1.1570,0.9619,-1.7924
2001-05-25,0,0.0000,-1.4775,0.4534,-2.3972
2001-05-28,0,0.1257,-0.0559,0.8974,-1.7909
2001-05-29,1,0.0000,1.0572,1.2990,-0.0070
2001-05-30,1,0.0346,0.2419,0.8611,-0.7430
2001-05-31,1,0.1724,1.1051,1.6089,0.1310
2001-06-01,1,0.0273,0.9646,0.9646,-1.6587
2001-06-04,1,0.0406,2.0873,2.3320,0.0406
2001-06-05,1,0.0199,1.9083,1.9797,-0.4778
2001-06-06,0,-0.0130,-0.4296,1.1239,-0.8284
2001-06-07,1,-0.0653,0.8768,1.4057,-0.8385
2001-06-08,0,0.0323,-0.6357,1.1573,-0.7074
2001-06-11,0,-0.4893,-0.9284,0.2015,-1.3563
2001-06-12,0,0.0919,-0.3356,0.0919,-1.7761
2001-06-13,1,0.0132,1.5045,2.7753,0.0132
2001-06-15,0,-0.1104,-2.7513,-0.1104,-2.8915
2001-06-18,0,-0.0200,-4.2951,-0.0200,-4.4485
2001-06-19,1,0.1392,0.3199,1.2874,-0.7692
2001-06-20,1,-0.0347,1.1736,1.3655,-0.0556
2001-06-21,1,-0.2543,1.7147,1.8360,-0.4471
2001-06-22,0,0.3166,-0.9558,1.8780,-0.9898
2001-06-25,0,0.0000,-0.9719,1.2791,-1.3923
2001-06-26,0,-0.1308,-0.5517,0.5487,-0.9606
2001-06-27,0,0.1175,-1.0567,1.1688,-1.3577
2001-06-28,1,0.0908,0.5784,0.8213,-1.0115
2001-06-29,1,0.1458,1.1675,1.7154,-0.1043
2001-07-02,0,0.1304,-0.0343,0.6776,-0.5302
2001-07-03,0,0.0412,-1.3976,1.4731,-1.5928
2001-07-04,0,-0.0070,-2.0910,0.2922,-2.6331
2001-07-05,0,0.1990,-0.0569,1.5881,-0.8072
2001-07-06,0,-0.1282,-1.0088,0.0996,-1.8681
2001-07-10,0,0.1652,-2.4531,1.0942,-2.4973
2001-07-11,1,-0.4579,1.7676,2.0640,-1.5521
2001-07-12,1,0.0000,0.7501,1.2591,-1.2824
2001-07-13,1,-0.0647,1.1574,1.2213,-1.2946
2001-07-16,0,0.0213,-1.9148,0.2979,-1.9148
2001-07-17,1,0.0145,2.5591,2.9043,0.0145
2001-07-18,0,0.0141,-2.7040,0.4717,-2.7983
2001-07-19,0,0.0290,-0.2105,1.1678,-1.0936
2001-07-20,1,0.0291,2.3696,2.3696,-0.7513
2001-07-23,0,0.1135,-0.1705,1.0377,-0.2416
2001-07-24,0,-0.1351,-2.3737,0.2698,-2.4684
2001-07-25,1,0.0000,1.5744,1.5744,-0.4304
2001-07-26,0,0.0501,-1.0517,0.1718,-1.5889
2001-07-27,1,0.1086,0.7215,0.7215,-0.3700
2001-07-30,0,0.2728,-1.4920,1.4772,-1.4920
2001-07-31,1,-0.0073,0.3642,0.9152,-0.4754
2001-08-01,0,0.0218,-0.0800,0.6016,-1.0819
2001-08-02,1,0.0218,0.5804,0.7467,-0.3864
2001-08-03,1,0.1229,0.1085,0.5699,-0.6532
2001-08-06,1,0.1300,1.4990,1.6413,0.1156
2001-08-07,0,0.0142,-0.0783,0.6811,-0.3137
2001-08-08,0,0.0000,-0.8371,0.5471,-0.8514
2001-08-09,0,0.0144,-0.6125,0.0790,-1.5494
2001-08-10,1,0.0145,0.5838,0.6197,-0.6964
2001-08-13,0,-0.0072,-1.0402,0.1006,-1.4404
2001-08-14,1,-0.0073,0.4203,0.5070,-0.2836
2001-08-15,0,0.0361,-1.2369,0.1951,-1.5596
2001-08-16,0,0.1975,-1.1043,0.4602,-1.8025
2001-08-17,0,-0.0148,-3.5028,-0.0148,-3.7638
2001-08-20,1,0.0000,0.5428,1.4008,-0.9861
2001-08-21,0,0.0534,-1.7150,0.5399,-1.7615
2001-08-22,1,0.1163,0.4643,2.0651,-0.3030
2001-08-23,0,0.0695,-1.5641,0.4699,-1.9412
2001-08-24,1,-0.0157,1.9417,1.9878,-0.5505
2001-08-27,0,-0.0077,-0.0385,0.3609,-1.1760
2001-08-28,1,0.0692,0.1691,0.9039,-0.4164
2001-08-29,1,0.1689,0.4522,1.2519,-0.0461
2001-08-30,0,-0.0229,-1.4248,0.2825,-2.1566
2001-08-31,0,0.1085,-0.3964,0.4412,-0.8022
2001-09-03,0,0.0623,-0.3198,0.1712,-1.1356
2001-09-04,0,0.0937,-0.2581,1.1419,-0.2581
2001-09-05,0,0.0000,-1.3881,0.0078,-2.4180
2001-09-06,0,0.0238,-2.7048,0.0635,-2.7375
2001-09-10,0,-0.1388,-2.7549,-0.1388,-2.9312
2001-09-11,0,0.0671,-9.6250,0.5437,-9.6620
2001-09-12,1,-0.5092,2.6070,4.4347,-1.1331
2001-09-13,0,0.1169,-7.5479,0.3772,-7.7033
2001-09-14,0,-0.4278,-2.6747,-0.3402,-7.7967
2001-09-17,1,-0.0199,4.9672,5.2703,-0.0199
2001-09-18,1,-0.0190,0.0853,1.5339,-2.1471
2001-09-19,1,0.0568,1.7936,2.6369,-0.6559
2001-09-20,0,-0.2423,-1.8978,-0.2423,-2.5927
2001-09-21,0,-0.4754,-1.1831,-0.4754,-6.3938
2001-09-24,1,0.3258,1.0882,2.6052,0.3258
2001-09-25,0,0.0569,-2.9286,0.5963,-3.2616
2001-09-26,0,-0.0196,-2.2042,0.4390,-3.3399
2001-09-27,1,-0.1000,3.9102,4.4565,-3.0544
2001-09-28,1,0.0673,2.1958,2.9265,0.0673
2001-10-01,0,-0.0282,-1.2774,-0.0282,-2.6872
2001-10-02,0,-0.0857,-1.4387,0.5224,-1.9424
2001-10-03,0,0.0483,-1.1465,0.0483,-1.5774
2001-10-04,0,0.0781,-1.6852,0.9338,-2.0436
2001-10-05,1,0.0596,1.3328,2.0558,-0.7682
2001-10-08,0,-0.7580,-1.0053,-0.2160,-2.0909
2001-10-09,1,0.1386,1.8549,2.2334,0.0792
2001-10-10,1,0.0000,1.7160,1.7160,-0.2824
2001-10-11,1,0.0000,3.0407,3.0870,-0.0096
2001-10-15,1,-0.0928,4.9210,4.9298,-0.8380
2001-10-16,0,-0.0265,-0.6287,1.2805,-1.4582
2001-10-17,1,0.2573,0.1154,1.9963,-0.8206
2001-10-18,0,-0.0976,-2.4792,-0.0710,-2.9076
2001-10-19,1,0.0727,3.0190,3.7312,-0.9228
2001-10-22,1,0.0970,3.1958,3.4093,-0.3448
2001-10-23,0,-0.0085,-0.7464,0.8765,-0.9964
2001-10-24,0,-0.0172,-1.2565,0.4553,-1.5884
2001-10-25,1,-0.0785,2.2077,2.7097,-1.4139
2001-10-26,1,0.0085,0.4850,1.6915,-0.0768
2001-10-29,0,0.0255,-3.4894,0.0255,-3.8946
2001-10-30,0,-0.3787,-3.1519,0.1669,-3.1519
2001-10-31,1,0.2989,3.0464,3.0464,0.2084
2001-11-01,1,-0.0264,0.2022,1.1635,-1.6680
2001-11-05,1,0.0088,6.6003,6.6989,0.0088
2001-11-06,1,-0.0905,2.0423,2.5645,-0.2140
